time	V(n002)	V(n003)
5.286884567671730e-02	3.012901e+01	4.766944e+00
5.306415817671731e-02	3.128235e+01	4.769711e+00
5.325947067671731e-02	3.226218e+01	4.771992e+00
5.345478317671731e-02	3.306330e+01	4.773812e+00
5.365009567671732e-02	3.368154e+01	4.775192e+00
5.384540817671732e-02	3.411379e+01	4.776144e+00
5.404072067671732e-02	3.435806e+01	4.776677e+00
5.423603317671732e-02	3.441359e+01	4.776798e+00
5.443134567671733e-02	3.428110e+01	4.776509e+00
5.462665817671733e-02	3.396362e+01	4.775814e+00
5.482197067671733e-02	3.346942e+01	4.774720e+00
5.501728317671734e-02	3.282433e+01	4.773273e+00
5.521259567671734e-02	3.208425e+01	4.771585e+00
5.540790817671734e-02	3.131507e+01	4.769795e+00
5.560322067671734e-02	3.055603e+01	4.767991e+00
5.579853317671735e-02	2.981672e+01	4.766196e+00
5.599384567671735e-02	2.909699e+01	4.764410e+00
5.618915817671735e-02	2.839634e+01	4.762632e+00
5.638447067671735e-02	2.771425e+01	4.760862e+00
5.657978317671736e-02	2.705024e+01	4.759099e+00
5.677509567671736e-02	2.640382e+01	4.757344e+00
5.697040817671736e-02	2.577452e+01	4.755595e+00
5.716572067671737e-02	2.516191e+01	4.753852e+00
5.736103317671737e-02	2.456552e+01	4.752115e+00
5.755634567671737e-02	2.398493e+01	4.750383e+00
5.775165817671737e-02	2.341972e+01	4.748657e+00
5.794697067671738e-02	2.286949e+01	4.746934e+00
5.814228317671738e-02	2.233383e+01	4.745215e+00
5.833759567671738e-02	2.181236e+01	4.743501e+00
5.853290817671739e-02	2.130471e+01	4.741788e+00
5.872822067671739e-02	2.081050e+01	4.740079e+00
5.892353317671739e-02	2.032937e+01	4.738372e+00
5.911884567671739e-02	1.986099e+01	4.736667e+00
5.931415817671740e-02	1.940502e+01	4.734962e+00
5.950947067671740e-02	1.896111e+01	4.733259e+00
5.970478317671740e-02	1.852897e+01	4.731556e+00
5.990009567671740e-02	1.810826e+01	4.729853e+00
6.009540817671741e-02	1.769870e+01	4.728149e+00
6.029072067671741e-02	1.729997e+01	4.726444e+00
6.048603317671741e-02	1.691180e+01	4.724738e+00
6.068134567671742e-02	1.653391e+01	4.723029e+00
6.087665817671742e-02	1.616602e+01	4.721318e+00
6.107197067671742e-02	1.580786e+01	4.719604e+00
6.126728317671742e-02	1.545919e+01	4.717886e+00
6.146259567671743e-02	1.511974e+01	4.716164e+00
6.165790817671743e-02	1.478927e+01	4.714437e+00
6.185322067671743e-02	1.446755e+01	4.712705e+00
6.204853317671744e-02	1.415434e+01	4.710967e+00
6.224384567671744e-02	1.384941e+01	4.709222e+00
6.243915817671744e-02	1.355255e+01	4.707470e+00
6.263447067671744e-02	1.326354e+01	4.705710e+00
6.282978317671745e-02	1.298218e+01	4.703942e+00
6.302509567671745e-02	1.270825e+01	4.702164e+00
6.322040817671745e-02	1.244157e+01	4.700377e+00
6.341572067671745e-02	1.218193e+01	4.698578e+00
6.361103317671746e-02	1.192916e+01	4.696768e+00
6.380634567671746e-02	1.168307e+01	4.694945e+00
6.400165817671746e-02	1.144348e+01	4.693109e+00
6.419697067671747e-02	1.121022e+01	4.691258e+00
6.439228317671747e-02	1.098313e+01	4.689393e+00
6.458759567671747e-02	1.076203e+01	4.687510e+00
6.478290817671747e-02	1.054677e+01	4.685610e+00
6.497822067671748e-02	1.033720e+01	4.683692e+00
6.517353317671748e-02	1.013316e+01	4.681753e+00
6.536884567671748e-02	9.934499e+00	4.679793e+00
6.556415817671749e-02	9.741083e+00	4.677811e+00
6.575947067671749e-02	9.552772e+00	4.675804e+00
6.595478317671749e-02	9.369427e+00	4.673771e+00
6.615009567671749e-02	9.190916e+00	4.671711e+00
6.634540817671750e-02	9.017111e+00	4.669621e+00
6.654072067671750e-02	8.847887e+00	4.667500e+00
6.673603317671750e-02	8.683122e+00	4.665344e+00
6.693134567671750e-02	8.522696e+00	4.663153e+00
6.712665817671751e-02	8.366520e+00	4.660923e+00
6.732197067671751e-02	8.303657e+00	4.660005e+00
6.737988236634125e-02	8.472405e+00	4.662395e+00
6.741525003485245e-02	8.760126e+00	4.666317e+00
6.743513936991065e-02	8.988670e+00	4.669250e+00
6.745372454473507e-02	9.220900e+00	4.672045e+00
6.747335514723415e-02	9.468739e+00	4.674831e+00
6.758419993495110e-02	1.086444e+01	4.688057e+00
6.787395266207609e-02	1.440336e+01	4.711766e+00
6.806926516207609e-02	1.669747e+01	4.723483e+00
6.826457766207610e-02	1.889696e+01	4.732811e+00
6.845989016207610e-02	2.098970e+01	4.740555e+00
6.865520266207610e-02	2.296437e+01	4.747128e+00
6.885051516207610e-02	2.481028e+01	4.752759e+00
6.904582766207611e-02	2.651748e+01	4.757605e+00
6.924114016207611e-02	2.807674e+01	4.761774e+00
6.943645266207611e-02	2.947966e+01	4.765344e+00
6.963176516207611e-02	3.071871e+01	4.768370e+00
6.982707766207612e-02	3.178725e+01	4.770894e+00
7.002239016207612e-02	3.267960e+01	4.772945e+00
7.021770266207612e-02	3.339105e+01	4.774547e+00
7.041301516207613e-02	3.391795e+01	4.775714e+00
7.060832766207613e-02	3.425774e+01	4.776459e+00
7.080364016207613e-02	3.440900e+01	4.776788e+00
7.099895266207613e-02	3.437168e+01	4.776707e+00
7.119426516207614e-02	3.414747e+01	4.776217e+00
7.138957766207614e-02	3.374129e+01	4.775323e+00
7.158489016207614e-02	3.316765e+01	4.774046e+00
7.178020266207615e-02	3.246671e+01	4.772461e+00
7.197551516207615e-02	3.170467e+01	4.770706e+00
7.217082766207615e-02	3.093792e+01	4.768904e+00
7.236614016207615e-02	3.018851e+01	4.767104e+00
7.256145266207616e-02	2.945893e+01	4.765313e+00
7.275676516207616e-02	2.874868e+01	4.763531e+00
7.295207766207616e-02	2.805726e+01	4.761757e+00
7.314739016207616e-02	2.738416e+01	4.759991e+00
7.334270266207617e-02	2.672889e+01	4.758232e+00
7.353801516207617e-02	2.609099e+01	4.756479e+00
7.373332766207617e-02	2.546998e+01	4.754734e+00
7.392864016207618e-02	2.486543e+01	4.752994e+00
7.412395266207618e-02	2.427690e+01	4.751260e+00
7.431926516207618e-02	2.370396e+01	4.749530e+00
7.451457766207618e-02	2.314619e+01	4.747806e+00
7.470989016207619e-02	2.260321e+01	4.746085e+00
7.490520266207619e-02	2.207460e+01	4.744369e+00
7.510051516207619e-02	2.156000e+01	4.742655e+00
7.529582766207620e-02	2.105903e+01	4.740944e+00
7.549114016207620e-02	2.057132e+01	4.739236e+00
7.568645266207620e-02	2.009653e+01	4.737530e+00
7.588176516207620e-02	1.963432e+01	4.735825e+00
7.607707766207621e-02	1.918435e+01	4.734121e+00
7.627239016207621e-02	1.874629e+01	4.732418e+00
7.646770266207621e-02	1.831983e+01	4.730715e+00
7.666301516207621e-02	1.790466e+01	4.729012e+00
7.685832766207622e-02	1.750048e+01	4.727307e+00
7.705364016207622e-02	1.710701e+01	4.725602e+00
7.724895266207622e-02	1.672395e+01	4.723894e+00
7.744426516207623e-02	1.635103e+01	4.722185e+00
